#,Country,"Population
(2018)","Land Area
(Km²)","Density
(P/Km²)"
1,Afghanistan,"3,63,73,176","6,52,860",56
2,Albania,"29,34,363","27,400",107
3,Algeria,"4,20,08,054","23,81,740",18
4,American Samoa,"55,679",200,278
5,Andorra,"76,953",470,164
6,Angola,"3,07,74,205","12,46,700",25
7,Anguilla,"15,045",90,167
8,Antigua and Barbuda,"1,03,050",440,234
9,Argentina,"4,46,88,864","27,36,690",16
10,Armenia,"29,34,152","28,470",103
11,Aruba,"1,05,670",180,587
12,Australia,"2,47,72,247","76,82,300",3
13,Austria,"87,51,820","82,409",106
14,Azerbaijan,"99,23,914","82,658",120
15,Bahamas,"3,99,285","10,010",40
16,Bahrain,"15,66,993",760,"2,062"
17,Bangladesh,"16,63,68,149","1,30,170","1,278"
18,Barbados,"2,86,388",430,666
19,Belarus,"94,52,113","2,02,910",47
20,Belgium,"1,14,98,519","30,280",380
21,Belize,"3,82,444","22,810",17
22,Benin,"1,14,85,674","1,12,760",102
23,Bermuda,"61,070",50,"1,221"
24,Bhutan,"8,17,054","38,117",21
25,Bolivia,"1,12,15,674","10,83,300",10
26,Bosnia and Herzegovina,"35,03,554","51,000",69
27,Botswana,"23,33,201","5,66,730",4
28,Brazil,"21,08,67,954","83,58,140",25
29,British Virgin Islands,"31,719",150,211
30,Brunei,"4,34,076","5,270",82
31,Bulgaria,"70,36,848","1,08,560",65
32,Burkina Faso,"1,97,51,651","2,73,600",72
33,Burundi,"1,12,16,450","25,680",437
34,Côte d'Ivoire,"2,49,05,843","3,18,000",78
35,Cabo Verde,"5,53,335","4,030",137
36,Cambodia,"1,62,45,729","1,76,520",92
37,Cameroon,"2,46,78,234","4,72,710",52
38,Canada,"3,69,53,765","90,93,510",4
39,Caribbean Netherlands,"25,702",328,78
40,Cayman Islands,"62,348",240,260
41,Central African Republic,"47,37,423","6,22,980",8
42,Chad,"1,53,53,184","12,59,200",12
43,Channel Islands,"1,66,083",190,874
44,Chile,"1,81,97,209","7,43,532",24
45,China,"1,41,50,45,928","93,88,211",151
46,Colombia,"4,94,64,683","11,09,500",45
47,Comoros,"8,32,347","1,861",447
48,Congo (Congo-Brazzaville),"53,99,895","3,41,500",16
49,Cook Islands,"17,411",240,73
50,Costa Rica,"49,53,199","51,060",97
51,Croatia,"41,64,783","55,960",74
52,Cuba,"1,14,89,082","1,06,440",108
53,Curaçao,"1,61,577",444,364
